epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54954,1.82087,3.30544,1.90668,0.0054,1,0.25343,0.11498,2.18814,3.48051,2.57508,2.858e-05,2.858e-05,2.858e-05
2,2.60727,1.94032,3.19862,1.89587,0.00605,1,0.2644,0.11626,1.90966,3.5305,2.4131,7.07426e-05,7.07426e-05,7.07426e-05
3,3.56711,1.74416,3.16196,1.74275,0.00611,1,0.32279,0.12246,1.71649,3.508,2.22447,0.000112056,0.000112056,0.000112056
4,4.54957,1.70092,3.20365,1.65599,0.00532,1,0.13866,0.04365,1.68271,3.38666,1.97655,0.000152521,0.000152521,0.000152521
5,5.51299,1.47288,2.93803,1.53914,0.0055,1,0.159,0.07048,1.66984,3.30404,1.76003,0.000192138,0.000192138,0.000192138
6,6.61483,1.52916,3.10197,1.55261,0.00539,1,0.3365,0.22538,1.38982,3.14731,1.43882,0.000230905,0.000230905,0.000230905
7,7.63283,1.53627,2.99528,1.4786,0.00554,1,0.31689,0.21304,1.27886,3.18922,1.43249,0.000268823,0.000268823,0.000268823
8,8.72554,1.34409,2.84388,1.37332,0.00533,1,0.31902,0.21878,1.17116,3.19267,1.40611,0.000305893,0.000305893,0.000305893
9,9.71186,1.43728,2.86788,1.41576,0.00521,1,0.35264,0.1807,1.06149,3.19503,1.39504,0.000342114,0.000342114,0.000342114
10,10.6591,1.47976,2.94546,1.46957,0.00518,1,0.51306,0.27296,1.07479,3.13435,1.38366,0.000377486,0.000377486,0.000377486
11,11.6262,1.25122,2.81773,1.36553,0.00496,1,0.48266,0.25363,1.24866,3.11819,1.44948,0.000412009,0.000412009,0.000412009
12,12.7273,1.34785,2.92419,1.45265,0.00461,1,0.47205,0.22344,1.37454,3.09368,1.4887,0.000445684,0.000445684,0.000445684
13,13.6557,1.22478,2.64809,1.2967,0.00446,1,0.44569,0.21533,1.44889,3.06405,1.56733,0.000478509,0.000478509,0.000478509
14,14.7018,1.32708,2.53389,1.30556,0.00427,1,0.47342,0.25194,1.47809,3.03966,1.55775,0.000510486,0.000510486,0.000510486
15,15.6918,1.22087,2.3835,1.27554,0.00427,1,0.47342,0.25194,1.47809,3.03966,1.55775,0.000541614,0.000541614,0.000541614
16,16.8301,1.23062,2.38548,1.31621,0.00411,1,0.4847,0.27281,1.33981,2.97244,1.41764,0.000571893,0.000571893,0.000571893
17,17.8251,1.3503,2.34653,1.34032,0.00408,1,0.50547,0.28261,1.28795,2.95536,1.51114,0.000601323,0.000601323,0.000601323
18,18.8204,1.15754,2.27119,1.25211,0.00408,1,0.50547,0.28261,1.28795,2.95536,1.51114,0.000629905,0.000629905,0.000629905
19,19.9265,1.17599,2.33636,1.31698,0.00416,1,0.43093,0.2516,1.37004,2.96126,1.5597,0.000657637,0.000657637,0.000657637
20,20.8792,1.23563,2.16163,1.28826,0.00414,1,0.51153,0.30301,1.35476,2.91403,1.50832,0.000684521,0.000684521,0.000684521
21,21.9233,1.16767,1.96891,1.30915,0.00414,1,0.51153,0.30301,1.35476,2.91403,1.50832,0.000710556,0.000710556,0.000710556
22,22.9335,1.28861,1.97735,1.38286,0.00412,1,0.4561,0.24239,1.53282,2.90475,1.59841,0.000735742,0.000735742,0.000735742
23,24.0327,1.39819,1.97751,1.40953,0.00412,1,0.4561,0.24239,1.53282,2.90475,1.59841,0.000760079,0.000760079,0.000760079
24,25.0585,1.42441,2.23053,1.47298,0.11114,0.83333,0.47463,0.25272,1.68206,2.86985,1.83603,0.000783568,0.000783568,0.000783568
25,26.0489,1.46168,2.03089,1.44483,0.11114,0.83333,0.47463,0.25272,1.68206,2.86985,1.83603,0.000806208,0.000806208,0.000806208
26,27.12,1.48931,1.99184,1.35118,0.59089,0.16667,0.55228,0.31797,1.64797,2.61717,1.95225,0.000827998,0.000827998,0.000827998
27,28.1905,1.28595,1.87326,1.39211,0.59089,0.16667,0.55228,0.31797,1.64797,2.61717,1.95225,0.00084894,0.00084894,0.00084894
28,29.2707,1.31028,1.80021,1.36404,0.44008,0.49051,0.54347,0.29718,1.61126,2.32792,2.01473,0.000869033,0.000869033,0.000869033
29,30.2132,1.21534,1.8088,1.32152,0.44008,0.49051,0.54347,0.29718,1.61126,2.32792,2.01473,0.000888278,0.000888278,0.000888278
30,31.224,1.2747,1.70217,1.39556,0.44008,0.49051,0.54347,0.29718,1.61126,2.32792,2.01473,0.000906673,0.000906673,0.000906673
31,32.257,1.18527,1.71102,1.37171,0.97105,0.27572,0.55067,0.3213,1.50714,2.15883,2.03725,0.00092422,0.00092422,0.00092422
32,33.211,1.20105,1.67735,1.34804,0.97105,0.27572,0.55067,0.3213,1.50714,2.15883,2.03725,0.000940918,0.000940918,0.000940918
33,34.1577,1.38304,1.51434,1.39602,0.49015,0.47916,0.64942,0.39749,1.42668,2.0304,1.84417,0.000956767,0.000956767,0.000956767
34,35.1676,1.50393,1.71439,1.61869,0.49015,0.47916,0.64942,0.39749,1.42668,2.0304,1.84417,0.000962146,0.000962146,0.000962146
35,36.1804,1.15705,1.30592,1.28956,0.49015,0.47916,0.64942,0.39749,1.42668,2.0304,1.84417,0.000947999,0.000947999,0.000947999
36,37.1566,1.51247,1.78072,1.65923,0.64538,0.58566,0.76012,0.49831,1.3238,1.85941,1.71689,0.000933851,0.000933851,0.000933851
37,38.2703,1.21821,1.46982,1.28868,0.64538,0.58566,0.76012,0.49831,1.3238,1.85941,1.71689,0.000919704,0.000919704,0.000919704
38,39.3201,1.27866,1.77707,1.45897,0.64538,0.58566,0.76012,0.49831,1.3238,1.85941,1.71689,0.000905557,0.000905557,0.000905557
39,40.3056,1.14127,1.52613,1.25615,0.95807,0.60922,0.8704,0.62302,1.26513,1.60919,1.70596,0.00089141,0.00089141,0.00089141
40,41.2675,1.32665,1.60187,1.33956,0.95807,0.60922,0.8704,0.62302,1.26513,1.60919,1.70596,0.000877263,0.000877263,0.000877263
41,42.2986,1.33761,1.65549,1.31576,0.86629,0.82974,0.88389,0.62105,1.18852,1.56972,1.64336,0.000863116,0.000863116,0.000863116
42,43.366,1.09231,1.52966,1.19626,0.86629,0.82974,0.88389,0.62105,1.18852,1.56972,1.64336,0.000848969,0.000848969,0.000848969
43,44.4013,1.08118,1.51326,1.30733,0.86629,0.82974,0.88389,0.62105,1.18852,1.56972,1.64336,0.000834822,0.000834822,0.000834822
44,45.5333,1.30851,1.53681,1.43071,0.68741,0.82533,0.86444,0.57404,1.28921,1.70916,1.68352,0.000820675,0.000820675,0.000820675
45,46.5584,1.14349,1.55846,1.24877,0.68741,0.82533,0.86444,0.57404,1.28921,1.70916,1.68352,0.000806528,0.000806528,0.000806528
46,47.6047,1.16292,1.44966,1.33177,0.68741,0.82533,0.86444,0.57404,1.28921,1.70916,1.68352,0.00079238,0.00079238,0.00079238
47,48.6259,1.14007,1.40743,1.21953,0.74811,0.83333,0.87694,0.62738,1.24329,1.5057,1.71758,0.000778233,0.000778233,0.000778233
48,49.6036,1.11259,1.53365,1.29106,0.74811,0.83333,0.87694,0.62738,1.24329,1.5057,1.71758,0.000764086,0.000764086,0.000764086
49,50.5493,1.22743,1.33698,1.25538,0.97707,0.84634,0.94197,0.74414,1.1443,1.3887,1.70007,0.000749939,0.000749939,0.000749939
50,51.6358,1.13344,1.48252,1.2551,0.97707,0.84634,0.94197,0.74414,1.1443,1.3887,1.70007,0.000735792,0.000735792,0.000735792
51,52.669,1.24814,1.31292,1.36298,0.97707,0.84634,0.94197,0.74414,1.1443,1.3887,1.70007,0.000721645,0.000721645,0.000721645
52,53.6853,1.10268,1.3679,1.29115,0.88637,0.817,0.91861,0.70412,1.19789,1.47277,1.7743,0.000707498,0.000707498,0.000707498
53,54.7088,1.0569,1.3504,1.23815,0.88637,0.817,0.91861,0.70412,1.19789,1.47277,1.7743,0.000693351,0.000693351,0.000693351
54,55.7724,1.03062,1.34705,1.18757,0.88637,0.817,0.91861,0.70412,1.19789,1.47277,1.7743,0.000679204,0.000679204,0.000679204
55,56.907,1.00831,1.3076,1.19144,0.89676,0.87726,0.94197,0.74842,1.12476,1.40248,1.70642,0.000665057,0.000665057,0.000665057
56,57.9219,1.36205,1.40136,1.33686,0.89676,0.87726,0.94197,0.74842,1.12476,1.40248,1.70642,0.000650909,0.000650909,0.000650909
57,59.014,0.90109,1.10628,1.08501,0.8199,0.81254,0.94639,0.74532,1.1711,1.50306,1.71454,0.000636762,0.000636762,0.000636762
58,60.0474,1.03759,1.16938,1.20323,0.8199,0.81254,0.94639,0.74532,1.1711,1.50306,1.71454,0.000622615,0.000622615,0.000622615
59,61.0977,1.14663,1.30516,1.23509,0.8199,0.81254,0.94639,0.74532,1.1711,1.50306,1.71454,0.000608468,0.000608468,0.000608468
60,62.249,1.00108,1.20122,1.1544,0.90111,0.81454,0.94639,0.66389,1.16489,1.50454,1.63594,0.000594321,0.000594321,0.000594321
61,63.262,1.05109,1.2434,1.2313,0.90111,0.81454,0.94639,0.66389,1.16489,1.50454,1.63594,0.000580174,0.000580174,0.000580174
62,64.2686,1.03222,1.16114,1.14975,0.90111,0.81454,0.94639,0.66389,1.16489,1.50454,1.63594,0.000566027,0.000566027,0.000566027
63,65.2281,1.06532,1.89385,1.25229,0.94725,0.86533,0.97833,0.64712,1.26948,1.52022,1.63978,0.00055188,0.00055188,0.00055188
64,66.3266,0.99528,1.18577,1.1067,0.94725,0.86533,0.97833,0.64712,1.26948,1.52022,1.63978,0.000537733,0.000537733,0.000537733
65,67.3225,0.99108,1.27896,1.11131,0.95459,0.80989,0.96722,0.63523,1.34282,1.55216,1.64782,0.000523586,0.000523586,0.000523586
66,68.4219,0.98764,1.36871,1.28349,0.95459,0.80989,0.96722,0.63523,1.34282,1.55216,1.64782,0.000509438,0.000509438,0.000509438
67,69.4438,0.90386,1.10566,1.10392,0.95459,0.80989,0.96722,0.63523,1.34282,1.55216,1.64782,0.000495291,0.000495291,0.000495291
68,70.5047,1.04592,1.15093,1.12971,0.95234,0.79123,0.93845,0.64369,1.35118,1.47425,1.61615,0.000481144,0.000481144,0.000481144
69,71.5563,0.91465,1.18552,1.15584,0.95234,0.79123,0.93845,0.64369,1.35118,1.47425,1.61615,0.000466997,0.000466997,0.000466997
70,72.6754,0.88892,1.08148,1.12455,0.95234,0.79123,0.93845,0.64369,1.35118,1.47425,1.61615,0.00045285,0.00045285,0.00045285
71,73.6797,0.77678,0.99853,1.07128,0.83704,0.83333,0.94639,0.7227,1.22587,1.47143,1.57135,0.000438703,0.000438703,0.000438703
72,74.7242,0.87013,1.13962,1.13938,0.83704,0.83333,0.94639,0.7227,1.22587,1.47143,1.57135,0.000424556,0.000424556,0.000424556
73,75.7931,0.93234,1.08339,1.14043,0.78403,0.83333,0.9325,0.7397,1.08128,1.5694,1.50273,0.000410409,0.000410409,0.000410409
74,76.9113,1.01435,1.22242,1.21716,0.78403,0.83333,0.9325,0.7397,1.08128,1.5694,1.50273,0.000396262,0.000396262,0.000396262
75,77.8824,0.83726,0.97576,1.0953,0.78403,0.83333,0.9325,0.7397,1.08128,1.5694,1.50273,0.000382115,0.000382115,0.000382115
76,78.869,0.917,1.0451,1.08119,0.75566,0.82716,0.94639,0.73494,1.10614,1.55849,1.51418,0.000367967,0.000367967,0.000367967
77,79.8192,0.97082,1.09957,1.07202,0.75566,0.82716,0.94639,0.73494,1.10614,1.55849,1.51418,0.00035382,0.00035382,0.00035382
78,80.7755,0.82269,1.04124,1.04997,0.75566,0.82716,0.94639,0.73494,1.10614,1.55849,1.51418,0.000339673,0.000339673,0.000339673
79,81.7486,0.96114,1.15745,1.02934,0.74665,0.82517,0.93944,0.63628,1.16542,1.51677,1.49988,0.000325526,0.000325526,0.000325526
80,82.7169,1.18181,1.42566,1.26032,0.74665,0.82517,0.93944,0.63628,1.16542,1.51677,1.49988,0.000311379,0.000311379,0.000311379
81,83.6948,0.95886,1.06376,1.12583,0.79766,0.83333,0.94639,0.61134,1.23528,1.39794,1.45842,0.000297232,0.000297232,0.000297232
82,84.735,0.78863,1.00633,1.0465,0.79766,0.83333,0.94639,0.61134,1.23528,1.39794,1.45842,0.000283085,0.000283085,0.000283085
83,85.7189,0.85111,1.11292,1.11184,0.79766,0.83333,0.94639,0.61134,1.23528,1.39794,1.45842,0.000268938,0.000268938,0.000268938
84,86.6938,0.87337,1.01475,1.09748,0.82981,0.83012,0.96167,0.61692,1.28325,1.41039,1.4462,0.000254791,0.000254791,0.000254791
85,87.6708,0.73757,0.90249,1.01795,0.82981,0.83012,0.96167,0.61692,1.28325,1.41039,1.4462,0.000240644,0.000240644,0.000240644
86,88.647,0.83478,1.17347,1.07504,0.82981,0.83012,0.96167,0.61692,1.28325,1.41039,1.4462,0.000226497,0.000226497,0.000226497
87,89.643,0.98739,1.07559,1.14692,0.84264,0.82796,0.96167,0.63202,1.28786,1.36179,1.44643,0.000212349,0.000212349,0.000212349
88,90.6743,0.76971,0.95237,1.1234,0.84264,0.82796,0.96167,0.63202,1.28786,1.36179,1.44643,0.000198202,0.000198202,0.000198202
89,91.6781,0.84064,1.13611,1.03,0.85203,0.83232,0.94639,0.62837,1.25672,1.31082,1.45161,0.000184055,0.000184055,0.000184055
90,92.6377,0.85269,0.91233,1.0901,0.85203,0.83232,0.94639,0.62837,1.25672,1.31082,1.45161,0.000169908,0.000169908,0.000169908
91,93.6029,0.77761,1.25882,1.0285,0.85203,0.83232,0.94639,0.62837,1.25672,1.31082,1.45161,0.000155761,0.000155761,0.000155761
92,94.5939,0.81136,1.13595,1.01507,0.83619,0.83333,0.94639,0.64522,1.20751,1.30592,1.46599,0.000141614,0.000141614,0.000141614
93,95.5259,0.89351,1.21289,1.04579,0.83619,0.83333,0.94639,0.64522,1.20751,1.30592,1.46599,0.000127467,0.000127467,0.000127467
94,96.5728,0.62851,1.03228,0.90742,0.83619,0.83333,0.94639,0.64522,1.20751,1.30592,1.46599,0.00011332,0.00011332,0.00011332
95,97.4879,0.71196,1.27459,0.97433,0.82549,0.83333,0.94639,0.64547,1.19308,1.31365,1.47712,9.91726e-05,9.91726e-05,9.91726e-05
96,98.4828,0.61359,1.11809,0.94336,0.82549,0.83333,0.94639,0.64547,1.19308,1.31365,1.47712,8.50255e-05,8.50255e-05,8.50255e-05
97,99.4461,0.76585,1.09956,1.10888,0.84685,0.83333,0.94639,0.6452,1.20256,1.29109,1.49139,7.08784e-05,7.08784e-05,7.08784e-05
98,100.461,0.66643,1.18809,0.99625,0.84685,0.83333,0.94639,0.6452,1.20256,1.29109,1.49139,5.67313e-05,5.67313e-05,5.67313e-05
99,101.399,0.59427,1.07034,0.88151,0.84685,0.83333,0.94639,0.6452,1.20256,1.29109,1.49139,4.25842e-05,4.25842e-05,4.25842e-05
100,102.42,0.72821,1.65775,0.95416,0.86949,0.83333,0.94639,0.63067,1.20709,1.32422,1.51286,2.84371e-05,2.84371e-05,2.84371e-05
