epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,574.991,1.49739,7.13119,0.51006,1.4421,1.47274,0.74677,0.74545,0.72542,0.3358,0.20662,0.23636,0.09903,0.02603,1.69219,6.72001,0.53196,1.2163,1.71155,0.0014852,0.0014852,0.0014852
28,592.886,1.5067,7.14242,0.526,1.39346,1.48234,0.6566,0.73636,0.69226,0.36522,0.18284,0.20909,0.07914,0.01908,1.61299,6.76313,0.52117,1.30616,1.66991,0.0014654,0.0014654,0.0014654
29,611.053,1.51823,7.10523,0.5116,1.45092,1.52076,0.7086,0.80909,0.78334,0.36724,0.2357,0.3,0.13131,0.02841,1.70477,6.48864,0.51348,1.20833,1.65812,0.0014456,0.0014456,0.0014456
30,629.398,1.45561,6.88832,0.51762,1.37506,1.44211,0.71749,0.76192,0.73316,0.40504,0.26855,0.27273,0.15499,0.04415,1.53856,6.39792,0.52656,1.18866,1.57668,0.0014258,0.0014258,0.0014258
31,647.777,1.49872,6.98646,0.50757,1.42241,1.5012,0.72948,0.8,0.75486,0.40909,0.37634,0.33636,0.17734,0.04096,1.53169,6.37656,0.51891,1.19646,1.57021,0.001406,0.001406,0.001406
32,666.196,1.47041,6.96959,0.50633,1.38484,1.45675,0.68918,0.78613,0.75779,0.38423,0.20902,0.23636,0.08862,0.02294,1.62457,6.69235,0.5381,1.18746,1.6444,0.0013862,0.0013862,0.0013862
33,684.547,1.44873,6.898,0.50767,1.38005,1.44652,0.63562,0.84545,0.73486,0.38721,0.27442,0.31634,0.13009,0.02864,1.59348,6.38616,0.52577,1.16707,1.6307,0.0013664,0.0013664,0.0013664
34,702.769,1.44425,6.955,0.50882,1.37486,1.45051,0.69803,0.73636,0.67596,0.36915,0.28962,0.3,0.13726,0.03189,1.55982,6.44903,0.5038,1.25581,1.62364,0.0013466,0.0013466,0.0013466
35,721.437,1.43916,6.85962,0.50086,1.38062,1.44598,0.58861,0.74545,0.66259,0.36198,0.19603,0.28182,0.08837,0.02769,1.55858,6.36055,0.50577,1.27194,1.62515,0.0013268,0.0013268,0.0013268
36,739.891,1.40824,6.87021,0.51713,1.34598,1.44508,0.62836,0.83001,0.73696,0.40288,0.47848,0.26364,0.21588,0.05328,1.47694,6.10289,0.50515,1.22499,1.57941,0.001307,0.001307,0.001307
37,758.21,1.41265,6.89875,0.51057,1.28574,1.43695,0.61199,0.78182,0.6588,0.34952,0.33503,0.22727,0.13307,0.03232,1.64766,6.18791,0.51901,1.21486,1.701,0.0012872,0.0012872,0.0012872
38,776.091,1.46881,6.56285,0.49481,1.32469,1.46723,0.65799,0.68182,0.64475,0.36114,0.3171,0.28182,0.13223,0.03506,1.50326,6.11751,0.4885,1.24244,1.5767,0.0012674,0.0012674,0.0012674
39,794.334,1.42936,6.59907,0.48705,1.33544,1.44602,0.73177,0.66364,0.7368,0.40939,0.34357,0.23636,0.11206,0.02354,1.50891,6.40187,0.50756,1.18723,1.5853,0.0012476,0.0012476,0.0012476
40,812.107,1.39371,6.83678,0.51501,1.30692,1.4097,0.71564,0.84651,0.76202,0.40351,0.32203,0.21818,0.13556,0.04026,1.61636,6.45312,0.50698,1.14868,1.627,0.0012278,0.0012278,0.0012278
41,830.056,1.38565,7.02044,0.52311,1.32913,1.42831,0.72237,0.74545,0.7203,0.35887,0.27997,0.35455,0.13049,0.03417,1.65968,6.128,0.50469,1.17312,1.66408,0.001208,0.001208,0.001208
42,848.089,1.40553,6.5859,0.4838,1.32269,1.42515,0.70811,0.81818,0.7742,0.41662,0.32851,0.39091,0.18652,0.04851,1.52875,5.99544,0.50645,1.06818,1.58472,0.0011882,0.0011882,0.0011882
43,866.179,1.44813,6.83235,0.50611,1.30283,1.4576,0.72547,0.68182,0.7463,0.3978,0.33801,0.25455,0.15042,0.04048,1.58246,6.01649,0.49818,1.16838,1.59619,0.0011684,0.0011684,0.0011684
44,884.461,1.34794,6.59231,0.49466,1.24636,1.38456,0.7565,0.73436,0.7702,0.40588,0.36238,0.25455,0.16967,0.04408,1.55146,5.92871,0.49705,1.13109,1.62811,0.0011486,0.0011486,0.0011486
45,902.362,1.36402,6.61611,0.50483,1.27525,1.39877,0.80531,0.76364,0.83295,0.46758,0.38526,0.39091,0.24609,0.05803,1.49428,6.01397,0.49263,1.04983,1.51599,0.0011288,0.0011288,0.0011288
46,920.24,1.41718,6.36833,0.47798,1.28616,1.4115,0.75423,0.74545,0.80089,0.38611,0.33755,0.38912,0.20236,0.04796,1.65287,5.90934,0.52312,1.17726,1.60298,0.001109,0.001109,0.001109
47,938.159,1.33,6.59034,0.49635,1.2278,1.37659,0.79652,0.71818,0.75683,0.39323,0.34635,0.29091,0.14339,0.03667,1.58467,5.92344,0.51413,1.07519,1.5677,0.0010892,0.0010892,0.0010892
48,1043.22,1.39097,6.45198,0.49747,1.21466,1.41115,0.66474,0.78182,0.7345,0.38732,0.35763,0.30909,0.15572,0.04048,1.5689,5.93072,0.5003,1.12669,1.61389,0.0010694,0.0010694,0.0010694
49,1060.42,1.37363,6.57975,0.48721,1.27844,1.41118,0.76693,0.81818,0.75881,0.3792,0.33682,0.37273,0.14993,0.03395,1.55218,6.08548,0.49581,1.13475,1.6233,0.0010496,0.0010496,0.0010496
50,1077.81,1.33206,6.34209,0.48696,1.25374,1.37632,0.69334,0.80909,0.74891,0.40611,0.26925,0.35455,0.19179,0.04873,1.50034,5.80774,0.49615,1.11296,1.53176,0.0010298,0.0010298,0.0010298
51,1095.83,1.33935,6.36527,0.48364,1.19016,1.37365,0.70363,0.80909,0.79263,0.44388,0.35769,0.36364,0.22599,0.05922,1.41974,5.73226,0.49258,1.04493,1.48659,0.00101,0.00101,0.00101
52,1113.5,1.33344,6.50084,0.48902,1.17783,1.39038,0.72442,0.80909,0.80846,0.44548,0.3852,0.4,0.20506,0.05069,1.43902,5.71495,0.49551,1.00476,1.5047,0.0009902,0.0009902,0.0009902
53,1131.17,1.30734,6.47814,0.48956,1.22246,1.37303,0.7585,0.80909,0.79122,0.42898,0.32418,0.34545,0.19103,0.05033,1.45754,5.75195,0.50216,1.06509,1.53058,0.0009704,0.0009704,0.0009704
54,1148.86,1.33919,6.37869,0.48512,1.19571,1.38351,0.75635,0.77273,0.74224,0.42915,0.37371,0.40909,0.28303,0.06693,1.43882,5.74701,0.50542,1.05008,1.49945,0.0009506,0.0009506,0.0009506
55,1166.35,1.31681,6.4203,0.48457,1.18305,1.37904,0.76908,0.73636,0.76568,0.43336,0.3863,0.35455,0.23199,0.07084,1.43054,5.71095,0.48131,1.04819,1.51575,0.0009308,0.0009308,0.0009308
56,1184.18,1.32441,6.3019,0.48108,1.1975,1.3698,0.7729,0.78182,0.75312,0.45418,0.3623,0.37273,0.20243,0.05227,1.45076,5.65619,0.49526,1.01264,1.52118,0.000911,0.000911,0.000911
57,1201.67,1.30516,6.28226,0.48199,1.18527,1.3662,0.74221,0.8,0.76925,0.45579,0.39203,0.35455,0.22248,0.05477,1.44753,5.63072,0.4982,1.05638,1.55091,0.0008912,0.0008912,0.0008912
58,1219.32,1.26913,6.14994,0.47744,1.14843,1.35663,0.70706,0.75455,0.7477,0.43691,0.35355,0.39279,0.27627,0.08605,1.46984,5.55252,0.49807,1.06322,1.52068,0.0008714,0.0008714,0.0008714
59,1237.04,1.32681,6.38588,0.48152,1.20161,1.36442,0.73194,0.79091,0.73834,0.42429,0.32717,0.3404,0.18429,0.05278,1.47971,5.70141,0.4896,1.02644,1.54635,0.0008516,0.0008516,0.0008516
60,1254.96,1.3032,6.09597,0.47156,1.18444,1.36453,0.79902,0.79517,0.80905,0.45848,0.41776,0.37181,0.26966,0.07641,1.46229,5.77465,0.49568,0.98915,1.51628,0.0008318,0.0008318,0.0008318
61,1272.73,1.28791,6.10065,0.45786,1.16171,1.33757,0.78866,0.79091,0.78904,0.45119,0.40875,0.40909,0.2613,0.07299,1.46641,5.57049,0.47738,0.95387,1.52248,0.000812,0.000812,0.000812
62,1290.43,1.26157,6.32687,0.48549,1.14319,1.32954,0.74472,0.80909,0.79791,0.46402,0.43739,0.34545,0.2488,0.07063,1.49084,5.72331,0.48549,1.00986,1.54086,0.0007922,0.0007922,0.0007922
63,1307.71,1.2388,6.19377,0.48565,1.09853,1.33607,0.70686,0.83302,0.77796,0.44287,0.31101,0.36364,0.1793,0.05831,1.47,5.65069,0.48425,1.03823,1.50387,0.0007724,0.0007724,0.0007724
64,1325.2,1.27398,6.04276,0.46511,1.17258,1.34176,0.74835,0.80909,0.76491,0.45131,0.42091,0.41818,0.24338,0.05961,1.48604,5.57903,0.48809,0.95026,1.55112,0.0007526,0.0007526,0.0007526
65,1342.74,1.27571,6.11016,0.47899,1.14376,1.35708,0.73683,0.83636,0.7918,0.46199,0.46128,0.34545,0.25315,0.0747,1.46084,5.44772,0.49636,1.01207,1.52811,0.0007328,0.0007328,0.0007328
66,1360.12,1.23941,6.01514,0.47444,1.16072,1.34149,0.70947,0.69091,0.70481,0.42558,0.38149,0.36364,0.2396,0.07522,1.48202,5.49133,0.48438,1.10636,1.55635,0.000713,0.000713,0.000713
67,1377.48,1.29012,6.09866,0.47516,1.18033,1.36643,0.70336,0.79758,0.75075,0.44574,0.42501,0.36364,0.25174,0.07299,1.4923,5.5302,0.49408,1.02333,1.54309,0.0006932,0.0006932,0.0006932
68,1394.85,1.21392,6.20417,0.47711,1.12105,1.30509,0.72465,0.82727,0.7866,0.4637,0.46235,0.38182,0.27618,0.07721,1.49505,5.51434,0.48274,0.97735,1.56276,0.0006734,0.0006734,0.0006734
69,1412.31,1.25963,6.03041,0.47209,1.1011,1.33724,0.70458,0.75887,0.73185,0.45458,0.33957,0.38182,0.25702,0.08068,1.42103,5.32162,0.48177,1.01427,1.51304,0.0006536,0.0006536,0.0006536
70,1429.68,1.22179,6.06117,0.47206,1.06244,1.32519,0.69716,0.75455,0.75381,0.46653,0.35814,0.4,0.25406,0.08475,1.43536,5.44363,0.49093,0.97857,1.51487,0.0006338,0.0006338,0.0006338
