epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,383.41,1.12403,0.72014,1.20838,0.65259,0.76818,0.75907,0.40248,1.91736,1.50619,1.99591,0.000462281,0.000462281,0.000462281
43,392.668,1.1116,0.70905,1.19149,0.7298,0.72127,0.72149,0.36972,1.90309,1.78882,1.96058,0.000438703,0.000438703,0.000438703
44,400.985,1.11162,0.7212,1.19506,0.6975,0.80681,0.76636,0.40703,1.91507,1.54454,1.95684,0.000415124,0.000415124,0.000415124
45,410.157,1.09344,0.67703,1.18958,0.72518,0.76889,0.77662,0.4183,1.98904,1.47838,2.0752,0.000391546,0.000391546,0.000391546
46,419.336,1.09826,0.67299,1.17278,0.72729,0.75294,0.77089,0.38884,1.97126,1.74615,2.0584,0.000367967,0.000367967,0.000367967
47,427.621,1.08008,0.69008,1.15261,0.74146,0.75172,0.72123,0.39073,1.8778,1.82242,1.94148,0.000344389,0.000344389,0.000344389
48,436.797,1.06264,0.69035,1.1753,0.70699,0.59286,0.69704,0.37635,1.90916,1.69474,1.99258,0.00032081,0.00032081,0.00032081
49,445.994,1.04782,0.66777,1.16014,0.67402,0.64231,0.70819,0.38259,1.92436,1.76092,1.96163,0.000297232,0.000297232,0.000297232
50,454.748,1.04265,0.67878,1.15785,0.72239,0.74749,0.75375,0.41256,1.80754,1.63053,1.90207,0.000273654,0.000273654,0.000273654
51,465.332,1.05589,0.66192,1.19841,0.72211,0.71431,0.7407,0.37096,1.90331,1.75305,2.00875,0.000250075,0.000250075,0.000250075
52,474.373,1.01841,0.60641,1.20186,0.76974,0.72566,0.76617,0.41649,1.83435,1.67015,1.95295,0.000226497,0.000226497,0.000226497
53,483.485,0.99119,0.58732,1.17917,0.75895,0.7054,0.75988,0.41003,1.92965,1.7041,2.02411,0.000202918,0.000202918,0.000202918
54,491.781,0.9942,0.5875,1.16841,0.75468,0.72851,0.77513,0.39936,1.9164,1.66683,2.0289,0.00017934,0.00017934,0.00017934
55,500.807,0.95613,0.5508,1.14534,0.75454,0.76752,0.76073,0.40787,1.92477,1.78427,2.05347,0.000155761,0.000155761,0.000155761
56,509.824,0.93551,0.56322,1.13952,0.71554,0.73714,0.77954,0.4203,1.87681,1.76195,2.02138,0.000132183,0.000132183,0.000132183
57,518.265,0.92693,0.53688,1.13169,0.71986,0.72381,0.78331,0.41646,1.8615,1.78013,1.95321,0.000108604,0.000108604,0.000108604
58,527.262,0.92416,0.52668,1.13605,0.73624,0.75556,0.78791,0.42673,1.87189,1.77291,1.9507,8.50255e-05,8.50255e-05,8.50255e-05
59,536.268,0.88883,0.5212,1.10515,0.72992,0.76837,0.7757,0.42808,1.83846,1.67087,1.94701,6.1447e-05,6.1447e-05,6.1447e-05
60,544.723,0.8807,0.50265,1.10551,0.73341,0.76889,0.77414,0.43745,1.84268,1.63911,1.96808,3.78685e-05,3.78685e-05,3.78685e-05
