epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,210.388,1.30272,0.715,1.06295,0.57008,0.38506,0.31881,0.11006,2.47686,1.74918,1.47578,0.0011684,0.0011684,0.0011684
44,215.417,1.26896,0.73552,1.05682,0.44756,0.45161,0.37574,0.10169,2.77532,1.73855,1.68128,0.0011486,0.0011486,0.0011486
45,220.182,1.30392,0.75173,1.09501,0.46634,0.51613,0.41827,0.11813,2.86693,1.58226,1.73798,0.0011288,0.0011288,0.0011288
46,224.572,1.24442,0.66545,1.06204,0.46953,0.48387,0.44623,0.13946,2.76788,1.61179,1.64831,0.001109,0.001109,0.001109
47,229.912,1.24567,0.71876,1.03708,0.44611,0.54566,0.46088,0.14108,2.77846,1.64296,1.61868,0.0010892,0.0010892,0.0010892
48,234.389,1.21669,0.69171,1.05323,0.53537,0.51613,0.38764,0.13129,2.95479,1.6298,1.68622,0.0010694,0.0010694,0.0010694
49,238.692,1.26628,0.76182,1.07907,0.40505,0.51613,0.39953,0.13567,2.79872,1.70912,1.63943,0.0010496,0.0010496,0.0010496
50,244.129,1.22208,0.68437,1.06001,0.42989,0.35484,0.3039,0.10939,2.93891,1.73217,1.72196,0.0010298,0.0010298,0.0010298
51,248.447,1.241,0.68291,1.0562,0.67177,0.41935,0.45459,0.16938,2.56851,1.35793,1.59555,0.00101,0.00101,0.00101
52,252.735,1.2067,0.6766,1.01747,0.69807,0.48387,0.45246,0.15686,2.56548,1.45369,1.59355,0.0009902,0.0009902,0.0009902
53,257.847,1.14471,0.63783,1.00137,0.51278,0.58065,0.46089,0.13567,2.69945,1.58495,1.63958,0.0009704,0.0009704,0.0009704
54,262.2,1.22594,0.69821,1.04477,0.57741,0.58065,0.48342,0.18538,2.52316,1.47893,1.60203,0.0009506,0.0009506,0.0009506
55,266.614,1.18325,0.63756,0.99908,0.62501,0.53793,0.5471,0.22333,2.46396,1.36545,1.50304,0.0009308,0.0009308,0.0009308
56,272.077,1.25777,0.69361,1.05248,0.6708,0.45161,0.47962,0.15041,2.94665,1.4618,1.75472,0.000911,0.000911,0.000911
57,276.318,1.18043,0.65241,1.01581,0.76331,0.3871,0.47121,0.14798,2.83308,1.6299,1.68175,0.0008912,0.0008912,0.0008912
58,281.103,1.15652,0.64574,1.06845,0.7518,0.51613,0.52509,0.16419,2.77662,1.8463,1.6728,0.0008714,0.0008714,0.0008714
59,286.201,1.0987,0.61003,1.01815,0.79305,0.49482,0.56168,0.20094,2.60019,1.89873,1.53048,0.0008516,0.0008516,0.0008516
60,290.541,1.10785,0.59518,0.99907,0.73384,0.45161,0.53758,0.18162,2.66992,1.76418,1.58495,0.0008318,0.0008318,0.0008318
61,295.559,1.16901,0.61726,1.0437,0.77686,0.44935,0.558,0.18132,2.68314,1.7193,1.56678,0.000812,0.000812,0.000812
62,300.267,1.07305,0.58904,0.97064,0.56276,0.45687,0.47636,0.17046,2.68789,1.89807,1.66526,0.0007922,0.0007922,0.0007922
63,304.685,1.12928,0.65019,0.97455,0.56591,0.41935,0.42568,0.15254,2.69445,1.86401,1.69874,0.0007724,0.0007724,0.0007724
64,310.154,1.10322,0.62116,0.99467,0.49712,0.3871,0.3079,0.09709,3.00317,1.73657,1.96645,0.0007526,0.0007526,0.0007526
65,314.289,1.12507,0.59537,1.00398,0.58345,0.51613,0.40856,0.09968,2.92796,1.51374,1.83585,0.0007328,0.0007328,0.0007328
66,318.63,1.1015,0.59822,0.98646,0.7676,0.51613,0.52132,0.17426,2.66354,1.4618,1.74913,0.000713,0.000713,0.000713
67,324.195,1.05782,0.58391,0.97203,0.55296,0.51613,0.47887,0.18815,2.61956,1.42714,1.69515,0.0006932,0.0006932,0.0006932
68,328.551,1.11246,0.59409,0.98986,0.70716,0.46777,0.47536,0.19816,2.4848,1.46449,1.49544,0.0006734,0.0006734,0.0006734
69,332.885,1.05483,0.54858,0.97604,0.6604,0.51613,0.50142,0.19373,2.56743,1.62605,1.52569,0.0006536,0.0006536,0.0006536
70,338.376,1.05701,0.59368,0.9584,0.57305,0.47649,0.44799,0.15773,2.79492,1.96714,1.65628,0.0006338,0.0006338,0.0006338
71,342.624,1.04646,0.56635,0.95261,0.64361,0.48387,0.48568,0.16446,2.82709,1.92674,1.70373,0.000614,0.000614,0.000614
72,346.92,1.05007,0.53066,0.97987,0.67871,0.48387,0.48312,0.18376,2.66505,1.79467,1.57369,0.0005942,0.0005942,0.0005942
73,352.084,1.03284,0.54768,0.98285,0.63625,0.56453,0.4692,0.18753,2.67628,1.84453,1.57494,0.0005744,0.0005744,0.0005744
74,356.49,0.99159,0.522,0.94158,0.60935,0.50348,0.43514,0.16526,2.60963,1.85352,1.56312,0.0005546,0.0005546,0.0005546
75,360.958,0.93948,0.49374,0.9657,0.55205,0.54839,0.38992,0.13732,2.70864,1.776,1.65109,0.0005348,0.0005348,0.0005348
76,366.295,0.97179,0.52028,0.97543,0.57641,0.48289,0.42059,0.1355,2.86139,1.77185,1.73873,0.000515,0.000515,0.000515
77,370.561,0.99668,0.51882,0.95846,0.67398,0.41935,0.43877,0.13647,2.81149,1.71953,1.67959,0.0004952,0.0004952,0.0004952
78,375.145,0.91658,0.52937,0.94158,0.6161,0.51613,0.53835,0.1651,2.73796,1.78585,1.61626,0.0004754,0.0004754,0.0004754
79,380.384,0.93996,0.52527,0.92896,0.74246,0.55827,0.63259,0.21532,2.60734,1.76784,1.5448,0.0004556,0.0004556,0.0004556
80,384.871,0.93749,0.49161,0.94328,0.7918,0.48387,0.59223,0.20144,2.55169,2.12861,1.49153,0.0004358,0.0004358,0.0004358
81,389.905,0.94388,0.54338,0.95651,0.75062,0.48554,0.51903,0.19593,2.60882,2.37277,1.49137,0.000416,0.000416,0.000416
82,394.693,0.93049,0.48766,0.95057,0.67861,0.47704,0.43453,0.17373,2.64783,2.27594,1.54059,0.0003962,0.0003962,0.0003962
83,399.071,0.90703,0.47334,0.92916,0.68151,0.48387,0.51114,0.18908,2.58518,2.10277,1.55533,0.0003764,0.0003764,0.0003764
84,404.365,0.89986,0.48256,0.9539,0.65806,0.45161,0.51238,0.17709,2.63693,2.0079,1.61681,0.0003566,0.0003566,0.0003566
85,408.737,0.8658,0.49252,0.94824,0.68719,0.45161,0.51548,0.17663,2.70347,2.07922,1.6591,0.0003368,0.0003368,0.0003368
86,413.164,0.89369,0.48079,0.9218,0.63355,0.44637,0.54651,0.17043,2.77468,2.06691,1.69028,0.000317,0.000317,0.000317
87,418.581,0.88528,0.48352,0.93412,0.67578,0.53817,0.54199,0.1638,2.76575,1.91521,1.68854,0.0002972,0.0002972,0.0002972
