epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,601.675,0.83584,0.69175,1.18372,0.43138,0.44612,0.46776,0.33581,1.01614,0.8114,1.34181,0.000539275,0.000539275,0.000539275
43,616.057,0.82106,0.68334,1.16526,0.94702,0.39355,0.48263,0.35028,0.97811,0.86861,1.30804,0.000511769,0.000511769,0.000511769
44,630.638,0.85147,0.7193,1.19284,0.50067,0.52376,0.51305,0.38479,0.93674,0.80366,1.28168,0.000484263,0.000484263,0.000484263
45,644.734,0.81466,0.68801,1.1688,0.9355,0.43565,0.52472,0.38253,0.96404,0.83106,1.29851,0.000456758,0.000456758,0.000456758
46,658.767,0.7977,0.6788,1.15521,0.9391,0.44195,0.49998,0.36637,0.94244,0.77224,1.30332,0.000429253,0.000429253,0.000429253
47,672.045,0.81291,0.67607,1.16001,0.9444,0.43833,0.48714,0.34811,0.97337,0.77836,1.3435,0.000401747,0.000401747,0.000401747
48,686.051,0.82322,0.65655,1.16224,0.95622,0.43705,0.47571,0.35059,0.93569,0.77042,1.31784,0.000374242,0.000374242,0.000374242
49,700.345,0.79301,0.6481,1.15315,0.94412,0.44194,0.47814,0.35814,0.93558,0.74177,1.30754,0.000346736,0.000346736,0.000346736
50,713.796,0.79486,0.66272,1.16201,0.95589,0.43346,0.48116,0.363,0.90707,0.73682,1.28154,0.000319231,0.000319231,0.000319231
51,730.662,0.65898,0.5399,1.10019,0.94263,0.42258,0.47293,0.36273,0.88371,0.73319,1.27094,0.000291725,0.000291725,0.000291725
52,744.277,0.65249,0.52319,1.12002,0.9178,0.43871,0.47744,0.36078,0.87664,0.75361,1.26169,0.00026422,0.00026422,0.00026422
53,758.516,0.64221,0.48817,1.08917,0.41356,0.43871,0.47973,0.36565,0.86684,0.77658,1.24514,0.000236714,0.000236714,0.000236714
54,772.269,0.60548,0.45548,1.06134,0.44142,0.43756,0.49167,0.36979,0.858,0.71864,1.22762,0.000209209,0.000209209,0.000209209
55,786.254,0.59699,0.44161,1.05521,0.96972,0.4129,0.50291,0.38658,0.82757,0.69537,1.20638,0.000181703,0.000181703,0.000181703
56,799.263,0.58995,0.43029,1.05726,0.4042,0.5672,0.50825,0.38843,0.85241,0.69115,1.23363,0.000154198,0.000154198,0.000154198
57,812.991,0.59566,0.42963,1.06569,0.94193,0.44839,0.50558,0.38438,0.85492,0.66088,1.23981,0.000126692,0.000126692,0.000126692
58,826.166,0.57588,0.41596,1.04122,0.93841,0.45161,0.4984,0.38239,0.8354,0.65862,1.22671,9.91865e-05,9.91865e-05,9.91865e-05
59,839.877,0.56018,0.40981,1.02689,0.93288,0.45768,0.49621,0.38083,0.81709,0.66543,1.21105,7.1681e-05,7.1681e-05,7.1681e-05
60,853.681,0.55967,0.40302,1.03575,0.94439,0.44839,0.50068,0.38625,0.82045,0.66717,1.20773,4.41755e-05,4.41755e-05,4.41755e-05
